name,group,score,module,type
g__Bacteroides;s__Bacteroides uniformis,Bacteroidetes,20,4,B
g__Clostridium;s__Clostridium sp. CAG:230,Firmicutes,9,4,B
g__Blautia;s__Blautia sp. Marseille-P3087,Firmicutes,29,4,B
g__Clostridium;s__Clostridium sp. CAG:567,Firmicutes,3,4,B
g__Blautia;s__Blautia producta,Firmicutes,12,4,B
g__Subdoligranulum;s__Subdoligranulum sp. 4_3_54A2FAA,Firmicutes,1,4,B
g__Bacteroides;s__Bacteroides dorei,Bacteroidetes,16,4,B
g__Clostridium;s__Clostridium sp. CAG:343,Firmicutes,3,4,B
g__Romboutsia;s__Romboutsia timonensis,Firmicutes,9,4,B
g__Eubacterium;s__[Eubacterium] hallii,Firmicutes,30,4,B
g__Anaerotruncus;s__Anaerotruncus sp. CAG:528,Firmicutes,9,4,B
g__Senegalimassilia;s__Senegalimassilia anaerobia,Actinobacteria,6,4,B
g__Coprococcus;s__Coprococcus comes,Firmicutes,16,4,B
g__Blautia;s__Blautia sp. KLE 1732,Firmicutes,25,4,B
